8,8
9,9
12,27
13,13
19,27
27,27
32,32
33,27
34,27
35,51
36,52
38,53
39,222
40,57
41,48
42,56
43,187
44,188
45,189
46,190
47,191
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,186
59,186
60,188
61,187
62,190
63,191
64,50
91,219
92,220
93,221
94,54
95,189
96,192
97,65
98,66
99,67
100,68
101,69
102,70
103,71
104,72
105,73
106,74
107,75
108,76
109,77
110,78
111,79
112,80
113,81
114,82
115,83
116,84
117,85
118,86
119,87
120,88
121,89
122,90
127,46
256,96
257,97
258,98
259,99
260,100
261,101
262,102
263,103
264,104
265,105
266,110
267,111
268,106
269,109
270,107
271,223
272,27
273,38
274,40
275,39
276,37
277,170
278,37
279,39
280,38
281,40
282,112
283,113
284,114
285,115
286,116
287,117
288,118
289,119
290,120
291,121
292,122
293,123
294,27
295,27
296,27
300,19
301,20
302,27
303,161
304,160
305,163
306,162
307,165
308,164
309,27
310,91
311,91
312,27
313,165
315,27
316,27
317,27
318,27
319,27
